172	EEK	60.2167	-162.017
173	EGE	39.6395	-106.912
174	EGV	45.932	-89.2599
175	EGX	58.2101	-157.366
176	EKO	40.829	-115.78
177	ELI	64.6167	-162.267
178	ELM	42.1633	-76.8973
179	ELP	31.7982	-106.393
180	ELV	58.1833	-136.317
181	ELY	39.3043	-114.853
182	EMK	62.785	-164.491
183	ENA	60.5651	-151.244
184	ENW	42.5934	-87.9299
185	ERI	42.0829	-80.1824
186	ESC	45.718	-87.0942
187	ESD	48.7073	-122.909
188	EUG	44.1184	-123.213
189	EVV	38.0464	-87.5308
190	EWB	41.6735	-70.9579
191	EWD	61.1021	-149.924
192	EWN	35.0786	-77.0343
193	EWR	40.6924	-74.1843
194	EYW	24.5536	-81.7551
195	FAI	64.8183	-147.866
196	FAR	46.9195	-96.8243
197	FAT	36.7675	-119.717
198	FAY	34.9914	-78.8889
199	FCA	48.3075	-114.252
200	FKL	41.3766	-79.8573
201	FLG	35.139	-111.675
202	FLL	26.0722	-80.1354
203	FLO	34.1936	-79.7289
204	FMN	36.7387	-108.227
205	FMY	26.5815	-81.862
206	FNL	40.4505	-105.008
207	FNT	42.9756	-83.7411
208	FOD	42.5523	-94.1819
209	FRD	48.5252	-123.027
210	FSD	43.5813	-96.7317
211	FSM	36.1881	-94.4944
212	FWA	40.9883	-85.1899
213	FYU	66.5714	-145.25
214	GAL	64.7404	-156.931
215	GAM	63.7667	-171.738
216	GBD	38.352	-98.853
217	GCC	44.3465	-105.533
218	GCK	37.9267	-100.719
219	GEG	47.625	-117.538
220	GFK	47.9494	-97.1762
221	GGG	32.3874	-94.7194
222	GJT	39.1217	-108.529
223	GLH	33.4819	-90.9903
224	GLV	64.5433	-163.033
225	GNU	59.1218	-161.588
226	GNV	29.6861	-82.277
227	GPT	30.4133	-89.072
228	GRB	44.4923	-88.1274
229	GRK	31.0615	-97.8206
230	GRR	42.8841	-85.5307
231	GSO	36.1038	-79.9427
232	GSP	34.8907	-82.2167
233	GST	58.4246	-135.707
234	GTF	47.482	-111.356
235	GTR	33.4516	-88.5876
236	GUC	38.5356	-106.941
237	GUM	13.4833	144.796
238	HAE	36.2306	-112.669
239	HCR	62.2016	-159.77
240	HDN	40.485	-107.219
241	HHH	32.2267	-80.6989
242	HIB	47.3934	-92.8418
243	HKB	63.8667	-148.967
244	HLN	46.6104	-111.99
245	HNH	58.0966	-135.41
246	HNL	21.3358	-157.919
247	HNM	20.7944	-156.015
248	HNS	59.2439	-135.524
249	HOB	32.6929	-103.215
250	HOM	59.6408	-151.499
251	HON	44.3833	-98.2333
252	HOU	29.6572	-95.2795
253	HPB	61.5262	-166.142
254	HPN	41.0693	-73.7042
255	HRL	26.2216	-97.663
256	HSL	65.7024	-156.387
257	HSV	34.6492	-86.7767
258	HTS	38.37	-82.5542
259	HUS	66.0443	-154.258
260	HVN	41.2709	-72.89
261	HVR	48.5461	-109.773
262	HYA	41.6667	-70.2863
263	HYG	55.205	-132.822
264	HYL	55.4833	-132.65
265	HYS	38.8546	-99.2737
266	IAD	38.9556	-77.4484
267	IAG	43.1	-78.9423
268	IAH	29.9784	-95.3424
269	IAN	66.9699	-160.429
270	ICT	37.6531	-97.43
271	IDA	43.5147	-112.068
272	IFP	35.1657	-114.557
273	IGG	59.3167	-155.9
274	IGM	35.2692	-113.957
275	IKO	52.9389	-168.868
276	ILI	59.7555	-154.918
277	ILM	34.2668	-77.912
278	ILN	39.4348	-83.7982
279	IMT	45.8153	-88.1185
280	IND	39.7322	-86.2707
281	INL	48.5661	-93.3978
282	INT	36.1361	-80.2294
283	IPL	32.8332	-115.57
284	IPT	41.2441	-76.9276
285	IRC	65.8245	-144.063
286	IRM	45.3517	-89.6665
287	ISN	48.1767	-103.631
288	ISO	35.3243	-77.6115
289	ISP	40.7891	-73.0984
290	ITH	42.4898	-76.4627
291	ITO	19.7126	-155.042
292	IWD	46.5208	-90.1344
293	IYK	35.6606	-117.816
294	JAC	43.6034	-110.736
295	JAN	32.3089	-90.0733
296	JAX	30.4914	-81.676
297	JEF	38.593	-92.1652
298	JFK	40.6437	-73.79
299	JGC	35.9621	-112.133
300	JHM	20.9619	-156.676
301	JHW	42.1528	-79.2666
302	JKL	37.5917	-83.315
303	JLN	37.147	-94.5019
304	JMS	46.9243	-98.6788
305	JNU	58.3598	-134.583
306	JRB	40.7039	-74.0129
307	JST	40.3208	-78.8306
308	KAL	64.3248	-158.725
309	KBC	66.2667	-145.8
310	KCC	56.014	-132.826
311	KCG	56.3173	-158.596
312	KCL	56.3065	-158.537
313	KCQ	56.3119	-158.362
314	KEB	41.0833	-92.4583
315	KEK	59.3516	-157.48
316	KFP	54.85	-163.417
317	KGK	59.7266	-157.26
318	KGX	62.9053	-160.067
319	KKA	64.9311	-161.16
320	KKB	58.1869	-152.375
321	KKH	62.8903	-149.054
322	KKI	60.9057	-161.424
323	KKU	58.8167	-158.55
324	KLG	61.5382	-160.314
325	KLL	59.1126	-156.856
326	KLN	57.5383	-153.98
327	KLW	55.5743	-133.064
328	KMC	57.1333	-153.2
329	KMO	58.9817	-159.058
330	KMY	57	-154.167
331	KNK	59.4333	-154.85
332	KNW	59.4513	-157.317
333	KOA	19.7334	-156.039
334	KOT	63.0328	-163.554
335	KOY	47.902	-112.265
336	KOZ	62.8903	-149.054
337	KPB	56.3502	-133.622
338	KPC	65.2544	-166.856
339	KPN	59.9371	-164.041
340	KPR	58.4833	-152.583
341	KPV	55.9122	-159.154
342	KPY	58.743	-154.96
343	KQA	54.1271	-165.889
344	KSM	62.0503	-163.179
345	KTB	55.6833	-132.529
346	KTN	55.354	-131.706
347	KTS	65.3333	-166.483
348	KUK	60.8953	-162.517
349	KVC	55.0667	-162.317
350	KVL	67.7333	-164.667
351	KWK	59.9077	-163.026
352	KWN	59.7511	-161.908
353	KWP	57.7696	-153.554
354	KWT	60.8	-161.45
355	KXA	55.5	-132.5
356	KYK	57.5645	-154.454
357	KYU	64.9	-157.7
358	KZB	57.55	-153.75
359	LAN	42.7728	-84.5888
360	LAR	37.8527	-76.517
361	LAS	36.0806	-115.143
362	LAW	34.573	-98.4135
363	LAX	33.9456	-118.391
364	LBB	33.6566	-101.821
365	LBE	40.2728	-79.4056
366	LBF	41.1333	-100.705
367	LBL	37.0446	-100.952
368	LCH	30.1235	-93.2198
369	LCK	39.8176	-82.936
370	LEB	43.6249	-72.3087
371	LEX	38.0384	-84.5989
372	LFT	30.2084	-91.9935
373	LGA	40.7731	-73.8756
374	LGB	33.8186	-118.144
375	LIH	21.9782	-159.351
376	LIT	34.7278	-92.219
377	LKE	47.6333	-122.333
378	LMA	63.8825	-152.313
379	LMT	42.1638	-121.745
380	LNK	40.8461	-96.7543
381	LNY	20.7909	-156.951
382	LOU	38.2228	-85.6669
383	LPS	48.4855	-122.936
384	LRD	27.5431	-99.4555
385	LSE	43.8751	-91.2638
386	LUF	33.5355	-112.372
387	LUP	21.2077	-156.976
388	LUR	68.8482	-166.118
389	LWB	37.8571	-80.4044
390	LWS	46.3776	-117.011
391	LWT	47.0552	-109.46
392	LYH	37.3309	-79.1944
393	MAF	31.9361	-102.208
394	MAZ	18.2531	-67.1489
395	MBL	44.2757	-86.2558
396	MBS	43.5311	-84.0933
397	MCE	37.2892	-120.515
398	MCG	62.9536	-155.603
399	MCI	39.2992	-94.7171
400	MCK	40.2071	-100.599
401	MCN	32.7023	-83.65
402	MCO	28.4418	-81.3115
403	MCW	43.153	-93.3361
404	MDT	40.1962	-76.7564
405	MDW	41.7875	-87.7416
406	MEI	32.3334	-88.7449
407	MEM	35.047	-89.9823
408	MFE	26.1813	-98.2404
409	MFR	42.3691	-122.874
410	MGM	32.3049	-86.3909
411	MGW	39.6411	-79.9241
412	MHK	39.1368	-96.6699
413	MHR	38.5646	-121.297
414	MHT	42.9293	-71.4386
415	MIA	25.7953	-80.2727
416	MKC	39.1197	-94.5906
417	MKE	42.9471	-87.9051
418	MKG	43.1646	-86.2367
419	MKK	21.1557	-157.094
420	MLB	28.0957	-80.6282
421	MLI	41.4539	-90.5058
422	MLL	61.8833	-162.067
423	MLU	32.5099	-92.044
424	MLY	64.9812	-150.637
425	MMH	37.6288	-118.844
426	MNT	65.1987	-149.53
427	MOB	30.6775	-88.243
428	MOD	37.6319	-120.959
429	MOT	48.2554	-101.291
430	MOU	62.0833	-163.733
431	MQT	46.3501	-87.3871
432	MRY	36.5872	-121.851
433	MSL	34.7439	-87.6185
434	MSN	43.1351	-89.3465
435	MSO	46.9192	-114.084
436	MSP	44.8793	-93.1987
437	MSS	44.9326	-74.8535
438	MSY	29.983	-90.2569
439	MTJ	38.5003	-107.899
440	MTM	55.1333	-131.583
441	MUE	19.9983	-155.675
442	MVY	41.3895	-70.6112
443	MWA	37.7467	-89.0104
444	MYL	44.8968	-116.096
445	MYR	33.6821	-78.9228
446	MYU	60.3906	-166.191
447	NCN	60.0784	-148.017
448	NIB	45.9837	-108.028
449	NIP	30.2342	-81.6753
450	NIU	21.3358	-157.919
451	NKI	55.8556	-133.183
452	NLG	56.0167	-161.15
453	NME	60.4723	-164.699
454	NNL	59.9717	-154.847
455	NUI	70.2167	-150.917
456	NUL	64.7134	-158.077
457	NUP	60.897	-162.453
458	NYA	44.7718	-93.9263
459	OAJ	34.8307	-77.6053
460	OAK	37.7158	-122.209
461	OBU	66.9148	-156.878
462	ODW	48.2517	-122.68
463	OGG	20.8926	-156.441
464	OGS	44.6782	-75.4765
465	OKC	35.3981	-97.5974
466	OLF	48.0964	-105.575
467	OLH	62.8903	-149.054
468	OMA	41.3	-95.8998
469	OME	64.5125	-165.445
470	ONL	42.4655	-98.6866
471	ONT	34.062	-117.594
472	OOK	60.5334	-165.114
473	OPF	25.9023	-80.2677
474	ORD	41.9796	-87.8825
475	ORF	36.8977	-76.2154
476	ORH	42.2699	-71.8706
477	ORI	-7.6833	-39.3667
478	ORV	66.8333	-161.033
479	OTH	43.4141	-124.244
480	OTZ	66.8893	-162.61
481	OVS	43.1537	-90.6764
482	OXR	34.1984	-119.206
483	PAH	37.0612	-88.7672
484	PBG	44.6508	-73.4683
485	PBI	26.6909	-80.0889
486	PCE	57.093	-157.258
487	PDB	59.7868	-154.105
488	PDT	45.6893	-118.839
489	PDX	45.5867	-122.587
490	PEC	57.95	-136.233
491	PFN	30.2071	-85.6829
492	PGA	36.9243	-111.451
493	PGM	59.35	-151.833
494	PGV	35.6336	-77.3808
495	PHF	37.1306	-76.5026
496	PHL	39.8768	-75.2419
497	PHO	68.3494	-166.797
498	PHX	33.4376	-112.03
499	PIA	40.6663	-89.6909
500	PIB	31.4671	-89.3333
501	PIE	27.9065	-82.6924
502	PIH	42.9056	-112.588
503	PIP	57.5631	-157.558
504	PIR	44.3801	-100.293
505	PIT	40.4914	-80.2328
506	PIZ	69.7333	-163.017
507	PKA	60.7049	-161.766
508	PKB	39.3462	-81.4345
509	PLN	45.571	-84.7857
510	PMD	34.6294	-118.084
511	PML	55.9833	-160.533
512	PNS	30.4761	-87.1941
513	PPG	-14.3242	-170.706
514	PPV	62.8903	-149.054
515	PQI	46.6921	-68.0447
516	PQS	61.9362	-162.882
517	PRC	34.6492	-112.428
518	PSC	46.2592	-119.117
519	PSE	18.0116	-66.5664
520	PSG	56.8067	-132.933
521	PSP	33.8227	-116.509
522	PTA	60.3956	-154.494
523	PTH	56.9667	-158.633
524	PTU	58.9216	-161.727
525	PUB	38.2836	-104.496
526	PUW	46.743	-117.119
527	PVC	42.0771	-70.2169
528	PVD	41.723	-71.4399
529	PWK	42.1162	-87.8987
530	PWM	43.6475	-70.3103
531	QUL	36.5922	-90.2465
532	RAP	44.037	-103.06
533	RBH	64.7381	-155.489
534	RBX	46.4717	-108.55
535	RBY	64.7381	-155.489
536	RCE	48.6126	-123.14
537	RCP	51.5257	-0.14499
538	RDB	67.75	-163.667
539	RDD	40.5056	-122.302
540	RDM	44.2533	-121.162
541	RDU	35.8729	-78.7923
542	RDV	61.7645	-157.312
543	RFD	42.2035	-89.0955
544	RHI	45.626	-89.4626
545	RIC	37.5108	-77.3332
546	RIV	33.8806	-117.259
547	RIW	43.0611	-108.458
548	RKD	44.0612	-69.0943
549	RKS	41.5988	-109.072
550	RMP	65.5063	-150.169
551	RNO	39.5064	-119.776
552	ROA	37.3203	-79.9688
553	ROC	43.1309	-77.6697
554	ROP	14.1667	145.25
555	ROW	33.3071	-104.519
556	RSH	61.7833	-161.333
557	RSJ	48.6339	-122.81
558	RST	43.9101	-92.4884
559	RSW	26.5228	-81.7531
560	RUT	43.5291	-72.945
561	SAN	32.7299	-117.195
562	SAT	29.5252	-98.4729
563	SAV	32.1338	-81.2133
564	SBA	34.4255	-119.835
565	SBN	41.7006	-86.311
566	SBP	35.239	-120.641
567	SBY	38.3431	-75.517
568	SCC	70.1975	-148.458
569	SCE	40.8515	-77.851
570	SCK	37.8973	-121.253
571	SCM	61.8425	-165.58
572	SDF	38.1865	-85.7462
573	SDP	55.3184	-160.523
574	SDY	47.7113	-104.184
575	SEA	47.4405	-122.296
576	SFB	28.773	-81.2403
577	SFO	37.6148	-122.392
578	SGF	37.243	-93.3817
579	SGU	37.0973	-113.591
580	SGY	59.4594	-135.314
581	SHD	38.2637	-78.9013
582	SHG	66.8801	-157.067
583	SHH	66.2568	-166.067
584	SHR	44.7739	-106.97
585	SHV	32.4549	-93.8285
586	SHX	62.6333	-159.583
587	SIG	18.4558	-66.0981
588	SIT	57.0535	-135.366
589	SJC	37.3679	-121.926
590	SJT	31.3616	-100.507
591	SJU	18.4367	-66.0095
592	SKK	64.3549	-161.193
593	SLC	40.7862	-111.982
594	SLE	44.9104	-123.008
595	SLK	44.3804	-74.2038
596	SLN	38.7786	-97.6397
597	SLQ	61.7	-157.117
598	SMF	38.683	-121.591
599	SMK	63.4735	-162.052
600	SMN	45.1148	-113.888
601	SMX	34.8888	-120.437
602	SNA	33.6813	-117.859
603	SNP	57.1667	-170.217
604	SOV	59.4428	-151.705
605	SOW	34.2595	-110.005
606	SPB	18.3409	-64.9698
607	SPI	39.8445	-89.672
608	SPN	15.1333	145.717
609	SPS	33.9862	-98.4984
610	SRQ	27.3868	-82.5516
611	SRV	62.8903	-149.054
612	SSB	17.75	-64.7
613	STC	45.5463	-94.066
614	STG	62.8903	-149.054
615	STL	38.7414	-90.3647
616	STS	38.511	-122.805
617	STT	18.3333	-64.9667
618	STX	17.6988	-64.7977
619	SUN	43.5065	-114.301
620	SUX	42.4012	-96.3784
621	SVA	63.6951	-170.465
622	SVC	32.6301	-108.164
623	SVS	66.0044	-149.091
624	SWF	41.4869	-74.0974
625	SWO	36.1618	-97.0751
626	SXP	62.5333	-164.833
627	SYB	58.1667	-152.5
628	SYR	43.1141	-76.1121
629	TAL	47.7184	-115.431
630	TBN	37.7327	-92.1361
631	TCT	62.9845	-156.07
632	TEB	40.8541	-74.0662
633	TEK	60.8644	-146.693
634	TEX	37.9544	-107.901
635	TGC	35.9349	-88.8506
636	TKE	57.7773	-135.208
637	TKJ	48.1205	21.4125
638	TLA	65.2413	-166.331
639	TLH	30.3964	-84.3503
640	TLJ	44.2044	23.5396
641	TLT	61.0959	-160.968
642	TNC	65.5639	-167.919
643	TNK	60.5813	-165.253
644	TOG	37.1198	-89.8786
645	TOL	41.5923	-83.8072
646	TPA	27.9744	-82.5356
647	TRI	36.4805	-82.4087
648	TSS	40.7474	-73.9912
649	TUL	36.1877	-95.8892
650	TUP	34.2662	-88.766
651	TUS	32.1204	-110.936
652	TVC	44.7365	-85.5796
653	TVF	48.0655	-96.1791
654	TWA	36.8259	-83.3212
655	TWF	42.4838	-114.485
656	TXK	33.457	-93.9943
657	TYR	32.3506	-95.4118
658	TYS	35.8064	-83.9889
659	UGB	57.4253	-157.74
660	UGI	57.8838	-153.369
661	UIN	39.9348	-91.196
662	UNK	63.8833	-160.783
663	VAK	61.5338	-165.584
664	VBM	62.8903	-149.054
665	VCT	28.8449	-96.9201
666	VCV	34.588	-117.373
667	VDZ	61.1294	-146.256
668	VEE	67.009	-146.406
669	VEL	40.4485	-109.514
670	VIS	36.3253	-119.394
671	VLD	30.7892	-83.2787
672	VPS	30.496	-86.55
673	VQS	18.1355	-65.487
674	WAA	65.6112	-168.098
675	WBB	63.52	-162.279
676	WBQ	66.359	-147.396
677	WKK	59.2667	-158.633
678	WLK	62.8903	-149.054
679	WMK	55.7389	-132.258
680	WMO	64.6811	-163.408
681	WNA	60.7049	-161.766
682	WRG	56.4876	-132.378
683	WRL	43.9747	-107.953
684	WSN	58.7285	-157.014
685	WST	41.3492	-71.8115
686	WSX	48.8907	-116.982
687	WTK	62.8903	-149.054
688	WTL	60.3432	-162.664
689	WWP	62.8903	-149.054
690	WWT	62.8903	-149.054
691	WYS	44.6876	-111.114
692	XNA	36.2756	-94.2955
693	XNY	42.8767	-77.8826
694	XVG	46.9929	-94.2075
695	XZU	37.2997	-92.3047
696	YAK	59.5103	-139.668
697	YIP	42.2385	-83.5467
698	YKM	46.5703	-120.54
699	YNG	41.2576	-80.6648
700	YUM	32.6685	-114.599
701	ZBP	39.3117	-76.6183
702	ZFV	40.9946	-77.6045
703	ZFZ	40.7145	-74.0071
704	ZGD	41.3564	-72.0965
705	ZHO	29.7605	-95.3698
706	ZLY	42.7426	-73.809
707	ZME	40.1428	-74.7267
708	ZML	42.9471	-87.9051
709	ZRD	37.5406	-77.4334
710	ZRL	40.038	-76.3013
711	ZRP	40.7333	-74.1667
712	ZRT	41.7633	-72.674
713	ZRU	42.322	-71.0918
714	ZRV	41.8238	-71.412
715	ZSF	42.1039	-72.592
716	ZTD	42.8161	-73.9442
717	ZTE	43.1531	-77.6177
718	ZTF	41.0464	-73.5429
719	ZTJ	40.1428	-74.7267
720	ZTN	40.217	-74.7551
721	ZTO	42.3374	-71.0591
722	ZTV	38.1865	-85.7462
723	ZTY	42.3433	-71.0506
724	ZUA	43.0958	-75.2428
725	ZUG	47.1715	8.51622
726	ZUN	35.0843	-108.789
727	ZVE	41.3071	-72.9249
728	ZWB	37.0294	-76.3467
729	ZWI	41.1418	-80.3211
730	ZWU	38.9	-77.25
731	ZWV	39.7393	-89.5041
732	ZWW	36.9805	-76.4295
733	ZYP	40.7501	40.7501
734	ZYQ	43.05	-76.1474
