"JRB","99999994728","10.22"
"KKB","70350025501","48.89"
"KKH","99999926414","49.18"
"KKI","70219026615","25.73"
"KLG","99999926516","41.11"
"KLL","70326025503","49.14"
"KNK","99999925506","35.30"
"KOZ","99999926414","49.18"
"KTN","70398025308","35.96"
"KUK","70219026615","39.23"
"KVC","99999925624","31.48"
"KWT","70219026615","20.65"
"KYU","70222099999","40.77"
"LAN","99999914836","1.16"
"LAR","72404013721","50.51"
"LAS","99999923169","2.07"
"LAW","72355013945","8.65"
"LAX","99999923174","0.87"
"LBB","99999923042","1.02"
"LBF","99999924023","3.27"
"LCH","99999903937","0.83"
"LCK","72428513812","0.25"
"LEX","99999993820","0.66"
"LGA","99999914732","0.77"
"LGB","72297023129","0.81"
"LIH","99999922536","1.25"
"LIT","99999913963","1.82"
"LKE","99999924244","7.41"
"LMT","72589594236","2.54"
"LOU","99999993821","7.83"
"LPS","99999924255","24.94"
"LRD","72252012920","1.37"
"LSE","99999914920","0.98"
"LUF","72278523111","1.69"
"LUR","70104099999","3.92"
"LWS","99999924149","0.48"
"LWT","99999924036","0.69"
"LYH","99999913733","1.56"
"MAF","72265023023","1.27"
"MCE","72481023203","11.42"
"MCG","99999926510","0.56"
"MCI","72456713921","18.73"
"MCN","99999903813","1.97"
"MCO","72205012815","1.59"
"MCW","99999914940","0.76"
"MDT","99999914751","8.40"
"MDW","99999914819","0.89"
"MEI","99999913865","0.16"
"MEM","99999913893","1.11"
"MFR","99999924225","1.34"
"MGM","99999913895","1.66"
"MHK","72455013947","12.76"
"MHR","72483523206","0.35"
"MHT","99999914745","24.01"
"MIA","99999912839","4.40"
"MKC","99999913988","0.56"
"MKE","99999914839","0.88"
"MKG","99999914840","0.72"
"MLB","74795012867","15.55"
"MLI","99999914923","1.93"
"MOB","99999913894","1.23"
"MOD","99999923237","36.99"
"MOT","99999924013","1.31"
"MRY","99999923245","2.02"
"MSN","99999914837","0.61"
"MSO","99999924153","0.67"
"MSP","99999914922","2.42"
"MSS","99999994725","0.70"
"MSY","72231012916","2.58"
"MTM","70398025308","10.50"
"MVY","99999914756","48.40"
"MYR","74791013717","0.98"
"NIB","99999924033","44.38"
"NIP","99999993837","0.83"
"NIU","91182022521","1.70"
"NNL","99999925506","24.96"
"NUI","99999927403","49.85"
"NUP","70219026615","36.01"
"OAJ","99999993727","20.34"
"OAK","99999923230","1.21"
"ODW","99999924255","10.97"
"OGG","91190322516","1.51"
"OKC","99999913967","1.06"
"OLH","99999926414","49.18"
"OMA","99999914942","1.14"
"OME","99999926617","0.29"
"ONT","99999903102","0.87"
"OPF","99999912839","13.35"
"ORD","99999994846","4.56"
"ORF","99999913737","2.15"
"ORH","99999994746","0.22"
"OTH","99999924284","0.09"
"OTZ","99999926616","2.71"
"OXR","99999993111","12.25"
"PBG","72622504742","0.16"
"PBI","99999912844","1.25"
"PDB","99999925506","45.20"
"PDT","99999924155","1.58"
"PDX","99999924229","2.01"
"PFN","74775013846","18.32"
"PGM","99999925507","37.78"
"PHF","72308793735","8.64"
"PHL","99999913739","1.32"
"PHX","99999923183","2.67"
"PIA","99999914842","0.61"
"PIE","99999912842","16.16"
"PIH","99999924156","2.13"
"PIR","99999924025","0.61"
"PIT","72520094823","1.73"
"PIZ","99999926638","0.01"
"PKA","70219026615","9.55"
"PLN","72743599999","34.67"
"PMD","72381023114","36.05"
"PNS","99999913899","0.72"
"PPV","99999926414","49.18"
"PQI","99999914607","19.95"
"PRC","99999923184","0.71"
"PTU","70305099999","36.00"
"PUB","72464093058","0.75"
"PUW","99999924149","41.71"
"PVD","99999914765","0.62"
"PWK","99999914855","6.52"
"PWM","99999914764","0.85"
"RAP","99999924090","0.87"
"RCE","99999924255","45.49"
"RDD","99999924216","39.54"
"RDM","99999924230","1.84"
"RDU","72306013722","2.35"
"RFD","99999994822","1.22"
"RIC","99999913740","1.32"
"RIV","72286023119","2.31"
"RIW","99999924021","34.97"
"RKS","99999924027","1.66"
"RNO","99999923185","2.55"
"ROA","99999913741","0.60"
"ROC","99999914768","1.68"
"RSJ","99999924255","33.29"
"RST","99999914925","0.71"
"RSW","99999912835","12.80"
"SAN","99999923188","1.19"
"SAT","72253012921","2.38"
"SAV","99999903822","0.52"
"SBN","99999914848","0.86"
"SBP","99999923273","41.62"
"SBY","99999993720","0.41"
"SCC","99999927405","7.49"
"SCK","99999923237","2.56"
"SCM","70212026633","24.70"
"SDF","99999993821","0.86"
"SEA","99999924233","1.41"
"SFB","99999912841","26.89"
"SFO","99999923234","2.47"
"SGF","99999913995","0.80"
"SHR","99999924029","0.51"
"SHV","99999913957","0.94"
"SIT","99999925333","0.61"
"SJC","99999923293","0.99"
"SJT","72263023034","1.59"
"SLC","72572024127","1.39"
"SLE","99999924232","0.81"
"SLN","99999903877","19.95"
"SMF","72483623208","16.68"
"SMX","99999923273","1.58"
"SNA","99999993184","0.70"
"SNP","70308025713","1.31"
"SOV","99999925507","25.23"
"SPI","99999993822","1.02"
"SPS","99999913966","0.99"
"SRV","99999926414","49.18"
"STC","99999914926","1.19"
"STG","99999926414","49.18"
"STL","72433813802","49.51"
"SUX","99999914943","1.10"
"SWF","72503814714","1.47"
"SYB","70350025501","46.22"
"SYR","99999914771","0.75"
"TBN","72445703938","2.28"
"TCT","70231599999","12.43"
"TEB","99999994728","11.06"
"TLH","99999993805","0.47"
"TNC","70117099999","0.36"
"TOL","99999994830","0.60"
"TPA","99999912842","1.46"
"TRI","99999913877","0.91"
"TSS","99999994728","5.05"
"TUL","72356013968","1.31"
"TUS","99999923160","2.18"
"TVC","99999914850","0.53"
"TYS","99999913891","1.33"
"UNK","99999926627","0.83"
"VAK","70212026633","36.50"
"VBM","99999926414","49.18"
"VCT","72255012912","2.09"
"VCV","72382523131","1.08"
"VIS","74702023110","49.82"
"VLD","74781099999","21.15"
"VPS","72221013858","3.49"
"WAA","70117099999","9.66"
"WLK","99999926414","49.18"
"WNA","70219026615","9.55"
"WSN","70326025503","21.27"
"WST","99999914788","41.95"
"WTK","99999926414","49.18"
"WWP","99999926414","49.18"
"WWT","99999926414","49.18"
"XNY","99999914768","31.51"
"YAK","99999925339","0.26"
"YIP","99999994847","17.79"
"YKM","99999924243","0.31"
"YNG","99999914852","0.81"
"YUM","99999923195","0.22"
"ZBP","99999993721","16.40"
"ZFZ","99999994728","8.94"
"ZHO","72243599999","17.31"
"ZLY","99999914735","0.06"
"ZME","72409614706","17.69"
"ZML","99999914839","0.88"
"ZRD","99999913740","10.74"
"ZRL","99999914751","50.84"
"ZRP","99999914734","5.65"
"ZRT","99999914740","19.38"
"ZRU","72509014739","8.00"
"ZRV","99999914765","11.39"
"ZSF","74491014703","11.73"
"ZTD","99999914735","13.69"
"ZTE","99999914768","6.27"
"ZTF","99999994745","13.99"
"ZTJ","72409614706","17.69"
"ZTN","72409614706","25.89"
"ZTO","72509014739","4.81"
"ZTV","99999993821","0.86"
"ZTY","72509014739","3.87"
"ZUA","72519614717","20.33"
"ZUN","99999993044","4.78"
"ZVE","99999994702","23.76"
"ZWB","74598013702","6.06"
"ZWI","99999914852","32.07"
"ZWU","99999993738","17.50"
"ZWV","99999993822","19.32"
"ZWW","74598013702","12.93"
"ZYQ","99999914771","7.66"
