STN_ID,LAT,LONG
61976099999,-15.8833333,54.5166666
69002093218,36.0,-121.23333
69014093101,33.66667,-117.73333
69015093121,34.3,-116.16667
69017099999,36.533,-115.567
69019013910,32.43333,-99.85
69023024255,48.35,-122.66667
69031003125,32.8356,-114.3942
69180499999,29.967,-81.983
69253499999,36.6666666,87.5
69258499999,36.583,-115.667
69270499999,32.033,-81.667
69325499999,30.4166666,-86.6666666
69011099999,42.608,-82.835
69148499999,47.6166666,-117.6666666
69236499999,39.417,-118.7
69430099999,41.05,-113.067
69645499999,32.5333333,-114.5166666
69646499999,32.5,-114.15
69811499999,34.3,-116.15
69960403145,32.65,-114.61667
70026027502,71.2834,-156.7815
70063027403,70.5,-149.88333
70063599999,68.483,-149.483
70063627405,70.25,-148.33333
70063727406,70.1917,-148.4772
70063899999,54.85,-163.4166666
70086027401,70.13389,-143.57694
70086399999,70.133903,-143.577044
70104099999,68.883,-166.133
70104399999,68.35,-166.8
70117099999,65.567,-167.917
70119599999,66.25,-166.083
70121026638,69.73333,-163.01667
70121399999,69.733,-163.017
70133026616,66.86667,-162.63333
70162026508,69.367,-152.133
70171899999,67.1,-157.85
70173099999,66.0,-153.7
70174026533,66.9169,-151.5154
70174599999,67.5,-148.483
70174899999,66.8166666,-150.65
70178026529,65.175,-152.1067
70179399999,65.0,-150.65
70179599999,65.933,-149.833
70194026413,66.56667,-145.26667
70200026617,64.5111,-165.44
70200599999,62.05,-163.3
70203599999,63.683,-170.483
70207026627,63.88333,-160.8
70208499999,62.783,-164.483
70212026633,61.78333,-166.03333
70218599999,60.367,-166.267
70219026615,60.785,-161.8293
70222099999,64.733,-156.933
70222499999,64.783,-141.15
70231026510,62.9574,-155.6103
70231599999,62.883,-155.967
70232026516,61.58159,-159.54304
70235099999,61.1,-155.567
70246026512,63.88611,-152.30194
70248399999,62.5333333,-153.6166667
70249099999,62.1,-152.75
70249599999,61.98,-152.08
70251026528,62.32,-150.095
70255026514,61.9772,-151.2169
70260026435,64.55,-149.07167
70260699999,62.883,-149.833
70260799999,58.12,-135.417
70261026411,64.8039,-147.8761
70261599999,64.833,-147.617
70264799999,63.87,-148.97
70264899999,63.4,-148.95
70265099999,64.65,-147.067
70266099999,63.9666666,-145.7
70267026415,63.9944,-145.7214
70267499999,65.833,-144.067
70267599999,63.033,-145.5
70268099999,62.1,-145.9666666
70269699999,61.633,-149.033
70270099999,61.2666666,-149.65
70271026425,62.1591,-145.4588
70271699999,61.817,-147.55
70272099999,61.25,-149.8
70273026451,61.169,-150.0278
70273526409,61.21694,-149.855
70274099999,61.595,-149.089
70275026442,61.1303,-146.3517
70275599999,61.433,-142.933
70275699999,61.133,-146.25
70275799999,60.767,-148.683
70277099999,60.117,-149.45
70291026412,62.9617,-141.9378
70291599999,62.7,-143.983
70296026410,60.4888,-145.4511
70298699999,60.817,-152.3
