"FWA","72533014827","2.41"
"FYU","70194026413","0.91"
"GAL","70222099999","0.83"
"GAM","70204026703","0.26"
"GCC","72665099999","0.55"
"GCK","72451523064","0.51"
"GEG","72785024157","0.84"
"GFK","72757614916","0.93"
"GGG","72244703901","0.78"
"GJT","72476023066","1.68"
"GLH","72235613939","0.47"
"GNV","72214612816","0.66"
"GPT","74768599999","1.55"
"GRB","72645014898","1.61"
"GRK","72257603902","1.34"
"GRR","72635094860","0.58"
"GSO","72317013723","0.77"
"GSP","72312003870","0.82"
"GST","70367025322","1.51"
"GTF","72775024143","2.19"
"GTR","72330799999","0.46"
"GUC","72467799999","0.72"
"HDN","72571599999","0.28"
"HHH","72208593831","28.58"
"HIB","72745594931","0.81"
"HKB","70264799999","0.40"
"HLN","72772024144","2.09"
"HNH","70260799999","2.63"
"HNL","91182022521","1.70"
"HNM","91190022516","44.55"
"HNS","70362599999","5.32"
"HOB","72268893034","0.24"
"HOM","70341025507","0.48"
"HON","72654014936","1.83"
"HOU","72243512918","2.14"
"HPB","70212026633","29.16"
"HPN","72503794745","0.38"
"HRL","72250512904","1.14"
"HSV","72323003856","1.04"
"HTS","72425003860","0.56"
"HUS","70173099999","25.69"
"HVN","72504514758","0.81"
"HVR","72777094012","0.80"
"HYA","72506799999","1.60"
"HYS","72451899999","1.40"
"IAD","72403093738","2.11"
"IAG","72528704724","0.99"
"IAH","72243012960","1.70"
"IAN","70489899999","30.94"
"ICT","72450003928","0.62"
"IDA","72578524145","0.20"
"IFP","72380523179","44.63"
"IGM","72370099999","1.30"
"IKO","70482025626","6.19"
"ILI","70340025506","0.85"
"ILM","72301113748","1.13"
"ILN","72429503867","44.38"
"IMT","72743799999","0.22"
"IND","72438093819","1.22"
"INL","72747014918","0.52"
"INT","72319393807","0.70"
"IPL","74718599999","0.85"
"IPT","72514014778","0.50"
"IRC","70267499999","0.96"
"IRM","72741599999","34.93"
"ISN","72767094014","0.53"
"ISO","72306793726","2.15"
"ISP","72503504781","0.60"
"ITH","72515599999","0.38"
"ITO","91285021504","1.36"
"IWD","72744599999","0.74"
"IYK","74612093104","11.50"
"JAC","72577699999","0.45"
"JAN","72235003940","1.35"
"JAX","72206013889","1.73"
"JEF","72445899999","1.73"
"JFK","74486094789","2.41"
"JGC","72378399999","1.35"
"JHM","91190499999","1.62"
"JHW","72523599999","0.71"
"JKL","72423603889","0.06"
"JLN","72349513987","0.05"
"JMS","72753514919","0.76"
"JNU","70381025309","1.16"
"JRB","72502014734","13.41"
"JST","72512704726","0.59"
"KBC","70194026413","40.93"
"KEB","72546514950","2.88"
"KFP","70063899999","0.02"
"KKB","70350025501","48.89"
