STN_ID,DATE,TIME,LAT,LONG,ELEVATION,STN_NAME,WND_SPD,WND_DIR,CIG,VIS,TMP,DEW,SLP
2836099999,1921-01-15,06-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,340,99999,000000,-0133,+9999,09812
2836099999,1921-01-15,13-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,320,99999,000000,-0167,+9999,09911
2836099999,1921-01-15,20-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,999,99999,000000,-0194,+9999,09950
2836099999,1921-01-16,06-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,200,99999,000000,-0106,+9999,09799
2836099999,1921-01-16,13-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,230,99999,000000,-0039,+9999,09663
2836099999,1921-01-16,20-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,230,99999,000000,+0006,+9999,09583
2836099999,1921-01-17,06-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,250,99999,000000,+0000,+9999,09596
2836099999,1921-01-17,13-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,230,99999,000000,-0006,+9999,09646
2836099999,1921-01-17,20-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,200,99999,000000,-0017,+9999,09604
2836099999,1921-01-18,06-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,140,99999,000000,-0006,+9999,09519
2836099999,1921-01-18,13-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,140,99999,000000,-0017,+9999,10471
2836099999,1921-01-18,20-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,110,99999,000000,-0033,+9999,10463
2836099999,1921-01-19,06-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,999,99999,000000,-0061,+9999,09532
2836099999,1921-01-19,13-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,999,99999,000000,-0061,+9999,09584
2836099999,1921-01-19,20-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,360,99999,000000,-0033,+9999,09632
2836099999,1921-01-20,06-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,999,99999,000000,-0056,+9999,09619
2836099999,1921-01-20,13-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,180,99999,000000,-0056,+9999,09536
2836099999,1921-01-20,20-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,140,99999,000000,-0050,+9999,99999
2836099999,1921-01-21,06-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,320,99999,000000,-0067,+9999,09542
2836099999,1921-01-21,13-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,320,99999,000000,-0117,+9999,09668
2836099999,1921-01-21,20-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,999,99999,000000,-0272,+9999,09684
2836099999,1921-01-22,06-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,999,99999,000000,-0294,+9999,09630
2836099999,1921-01-22,13-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,999,99999,000000,-0250,+9999,09588
2836099999,1921-01-22,20-00-00,67.395033,26.619133,183.48,"SODANKYLA, FI",1,999,99999,000000,-0278,+9999,09572
